I	O	O	O	O	O	
The	O	O	O	O	O	
day	O	O	O	O	O	
broke	O	O	O	O	O	
gray	O	O	O	O	O	
and	O	O	O	O	O	
dull	O	O	O	O	O	
.	O	O	O	O	O	

The	O	O	O	O	O	
clouds	O	O	O	O	O	
hung	O	O	O	O	O	
heavily	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
there	O	O	O	O	O	
was	O	O	O	O	O	
a	O	O	O	O	O	
rawness	O	O	O	O	O	
in	O	O	O	O	O	
the	O	O	O	O	O	
air	O	O	O	O	O	
that	O	O	O	O	O	
suggested	O	O	O	O	O	
snow	O	O	O	O	O	
.	O	O	O	O	O	

A	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
servant	I-PER	O	O	O	O	
came	O	O	O	O	O	
into	O	O	O	O	O	
a	O	B-FAC	O	O	O	
room	O	I-FAC	O	O	O	
in	O	I-FAC	O	O	O	
which	O	I-FAC	O	O	O	
a	B-PER	I-FAC	O	O	O	
child	I-PER	I-FAC	O	O	O	
was	O	I-FAC	O	O	O	
sleeping	O	I-FAC	O	O	O	
and	O	O	O	O	O	
drew	O	O	O	O	O	
the	O	O	O	O	O	
curtains	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
glanced	O	O	O	O	O	
mechanically	O	O	O	O	O	
at	O	O	O	O	O	
the	B-FAC	O	O	O	O	
house	I-FAC	O	O	O	O	
opposite	I-FAC	O	O	O	O	
,	O	O	O	O	O	
a	O	B-FAC	O	O	O	
stucco	O	I-FAC	O	O	O	
house	O	I-FAC	O	O	O	
with	O	I-FAC	O	O	O	
a	B-FAC	I-FAC	O	O	O	
portico	I-FAC	I-FAC	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
went	O	O	O	O	O	
to	O	O	O	O	O	
the	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
's	O	O	O	O	O	
bed	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Wake	O	O	O	O	O	
up	O	O	O	O	O	
,	O	O	O	O	O	
Philip	B-PER	O	O	O	O	
,	O	O	O	O	O	
"	O	O	O	O	O	
she	O	O	O	O	O	
said	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
pulled	O	O	O	O	O	
down	O	O	O	O	O	
the	O	O	O	O	O	
bed-clothes	O	O	O	O	O	
,	O	O	O	O	O	
took	O	O	O	O	O	
him	O	O	O	O	O	
in	O	O	O	O	O	
her	O	O	O	O	O	
arms	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
carried	O	O	O	O	O	
him	O	O	O	O	O	
downstairs	B-FAC	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
was	O	O	O	O	O	
only	O	O	O	O	O	
half	O	O	O	O	O	
awake	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Your	B-PER	O	O	O	O	
mother	I-PER	O	O	O	O	
wants	O	O	O	O	O	
you	O	O	O	O	O	
,	O	O	O	O	O	
"	O	O	O	O	O	
she	O	O	O	O	O	
said	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
opened	O	O	O	O	O	
the	O	O	O	O	O	
door	O	O	O	O	O	
of	O	O	O	O	O	
a	O	B-FAC	O	O	O	
room	O	I-FAC	O	O	O	
on	O	I-FAC	O	O	O	
the	B-FAC	I-FAC	O	O	O	
floor	I-FAC	I-FAC	O	O	O	
below	I-FAC	I-FAC	O	O	O	
and	O	O	O	O	O	
took	O	O	O	O	O	
the	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
over	O	O	O	O	O	
to	O	O	O	O	O	
a	O	O	O	O	O	
bed	O	O	O	O	O	
in	O	O	O	O	O	
which	O	O	O	O	O	
a	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
was	O	O	O	O	O	
lying	O	O	O	O	O	
.	O	O	O	O	O	

It	O	O	O	O	O	
was	O	O	O	O	O	
his	B-PER	O	O	O	O	
mother	I-PER	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
stretched	O	O	O	O	O	
out	O	O	O	O	O	
her	O	O	O	O	O	
arms	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
the	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
nestled	O	O	O	O	O	
by	O	O	O	O	O	
her	O	O	O	O	O	
side	O	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
did	O	O	O	O	O	
not	O	O	O	O	O	
ask	O	O	O	O	O	
why	O	O	O	O	O	
he	O	O	O	O	O	
had	O	O	O	O	O	
been	O	O	O	O	O	
awakened	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
kissed	O	O	O	O	O	
his	O	O	O	O	O	
eyes	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
with	O	O	O	O	O	
thin	O	O	O	O	O	
,	O	O	O	O	O	
small	O	O	O	O	O	
hands	O	O	O	O	O	
felt	O	O	O	O	O	
the	B-PER	O	O	O	O	
warm	I-PER	O	O	O	O	
body	I-PER	O	O	O	O	
through	O	O	O	O	O	
his	O	O	O	O	O	
white	O	O	O	O	O	
flannel	O	O	O	O	O	
nightgown	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
pressed	O	O	O	O	O	
him	O	O	O	O	O	
closer	O	O	O	O	O	
to	O	O	O	O	O	
herself	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Are	O	O	O	O	O	
you	O	O	O	O	O	
sleepy	O	O	O	O	O	
,	O	O	O	O	O	
darling	B-PER	O	O	O	O	
?	O	O	O	O	O	
"	O	O	O	O	O	

she	O	O	O	O	O	
said	O	O	O	O	O	
.	O	O	O	O	O	

Her	O	O	O	O	O	
voice	O	O	O	O	O	
was	O	O	O	O	O	
so	O	O	O	O	O	
weak	O	O	O	O	O	
that	O	O	O	O	O	
it	O	O	O	O	O	
seemed	O	O	O	O	O	
to	O	O	O	O	O	
come	O	O	O	O	O	
already	O	O	O	O	O	
from	O	O	O	O	O	
a	O	O	O	O	O	
great	O	O	O	O	O	
distance	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
did	O	O	O	O	O	
not	O	O	O	O	O	
answer	O	O	O	O	O	
,	O	O	O	O	O	
but	O	O	O	O	O	
smiled	O	O	O	O	O	
comfortably	O	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
was	O	O	O	O	O	
very	O	O	O	O	O	
happy	O	O	O	O	O	
in	O	O	O	O	O	
the	O	O	O	O	O	
large	O	O	O	O	O	
,	O	O	O	O	O	
warm	O	O	O	O	O	
bed	O	O	O	O	O	
,	O	O	O	O	O	
with	O	O	O	O	O	
those	O	O	O	O	O	
soft	O	O	O	O	O	
arms	O	O	O	O	O	
about	O	O	O	O	O	
him	O	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
tried	O	O	O	O	O	
to	O	O	O	O	O	
make	O	O	O	O	O	
himself	O	O	O	O	O	
smaller	O	O	O	O	O	
still	O	O	O	O	O	
as	O	O	O	O	O	
he	O	O	O	O	O	
cuddled	O	O	O	O	O	
up	O	O	O	O	O	
against	O	O	O	O	O	
his	B-PER	O	O	O	O	
mother	I-PER	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
he	O	O	O	O	O	
kissed	O	O	O	O	O	
her	O	O	O	O	O	
sleepily	O	O	O	O	O	
.	O	O	O	O	O	

In	O	O	O	O	O	
a	O	O	O	O	O	
moment	O	O	O	O	O	
he	O	O	O	O	O	
closed	O	O	O	O	O	
his	O	O	O	O	O	
eyes	O	O	O	O	O	
and	O	O	O	O	O	
was	O	O	O	O	O	
fast	O	O	O	O	O	
asleep	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
came	O	O	O	O	O	
forwards	O	O	O	O	O	
and	O	O	O	O	O	
stood	O	O	O	O	O	
by	O	O	O	O	O	
the	O	O	O	O	O	
bed-side	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Oh	O	O	O	O	O	
,	O	O	O	O	O	
do	O	O	O	O	O	
n't	O	O	O	O	O	
take	O	O	O	O	O	
him	O	O	O	O	O	
away	O	O	O	O	O	
yet	O	O	O	O	O	
,	O	O	O	O	O	
"	O	O	O	O	O	
she	O	O	O	O	O	
moaned	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
,	O	O	O	O	O	
without	O	O	O	O	O	
answering	O	O	O	O	O	
,	O	O	O	O	O	
looked	O	O	O	O	O	
at	O	O	O	O	O	
her	O	O	O	O	O	
gravely	O	O	O	O	O	
.	O	O	O	O	O	

Knowing	O	O	O	O	O	
she	O	O	O	O	O	
would	O	O	O	O	O	
not	O	O	O	O	O	
be	O	O	O	O	O	
allowed	O	O	O	O	O	
to	O	O	O	O	O	
keep	O	O	O	O	O	
the	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
much	O	O	O	O	O	
longer	O	O	O	O	O	
,	O	O	O	O	O	
the	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
kissed	O	O	O	O	O	
him	O	O	O	O	O	
again	O	O	O	O	O	
;	O	O	O	O	O	
and	O	O	O	O	O	
she	O	O	O	O	O	
passed	O	O	O	O	O	
her	O	O	O	O	O	
hand	O	O	O	O	O	
down	O	O	O	O	O	
his	B-PER	O	O	O	O	
body	I-PER	O	O	O	O	
till	O	O	O	O	O	
she	O	O	O	O	O	
came	O	O	O	O	O	
to	O	O	O	O	O	
his	O	O	O	O	O	
feet	O	O	O	O	O	
;	O	O	O	O	O	
she	O	O	O	O	O	
held	O	O	O	O	O	
the	O	O	O	O	O	
right	O	O	O	O	O	
foot	O	O	O	O	O	
in	O	O	O	O	O	
her	O	O	O	O	O	
hand	O	O	O	O	O	
and	O	O	O	O	O	
felt	O	O	O	O	O	
the	O	O	O	O	O	
five	O	O	O	O	O	
small	O	O	O	O	O	
toes	O	O	O	O	O	
;	O	O	O	O	O	
and	O	O	O	O	O	
then	O	O	O	O	O	
slowly	O	O	O	O	O	
passed	O	O	O	O	O	
her	O	O	O	O	O	
hand	O	O	O	O	O	
over	O	O	O	O	O	
the	O	O	O	O	O	
left	O	O	O	O	O	
one	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
gave	O	O	O	O	O	
a	O	O	O	O	O	
sob	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
What	O	O	O	O	O	
's	O	O	O	O	O	
the	O	O	O	O	O	
matter	O	O	O	O	O	
?	O	O	O	O	O	
"	O	O	O	O	O	

said	O	O	O	O	O	
the	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
You	O	O	O	O	O	
're	O	O	O	O	O	
tired	O	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

She	O	O	O	O	O	
shook	O	O	O	O	O	
her	O	O	O	O	O	
head	O	O	O	O	O	
,	O	O	O	O	O	
unable	O	O	O	O	O	
to	O	O	O	O	O	
speak	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
the	O	O	O	O	O	
tears	O	O	O	O	O	
rolled	O	O	O	O	O	
down	O	O	O	O	O	
her	O	O	O	O	O	
cheeks	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
bent	O	O	O	O	O	
down	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Let	O	O	O	O	O	
me	O	O	O	O	O	
take	O	O	O	O	O	
him	O	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

She	O	O	O	O	O	
was	O	O	O	O	O	
too	O	O	O	O	O	
weak	O	O	O	O	O	
to	O	O	O	O	O	
resist	O	O	O	O	O	
his	O	O	O	O	O	
wish	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
she	O	O	O	O	O	
gave	O	O	O	O	O	
the	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
up	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
handed	O	O	O	O	O	
him	O	O	O	O	O	
back	O	O	O	O	O	
to	O	O	O	O	O	
his	B-PER	O	O	O	O	
nurse	I-PER	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
You	O	O	O	O	O	
'd	O	O	O	O	O	
better	O	O	O	O	O	
put	O	O	O	O	O	
him	O	O	O	O	O	
back	O	O	O	O	O	
in	O	O	O	O	O	
his	O	O	O	O	O	
own	O	O	O	O	O	
bed	O	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

"	O	O	O	O	O	
Very	O	O	O	O	O	
well	O	O	O	O	O	
,	O	O	O	O	O	
sir	B-PER	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

The	B-PER	O	O	O	O	
little	I-PER	O	O	O	O	
boy	I-PER	O	O	O	O	
,	O	O	O	O	O	
still	O	O	O	O	O	
sleeping	O	O	O	O	O	
,	O	O	O	O	O	
was	O	O	O	O	O	
taken	O	O	O	O	O	
away	O	O	O	O	O	
.	O	O	O	O	O	

His	B-PER	O	O	O	O	
mother	I-PER	O	O	O	O	
sobbed	O	O	O	O	O	
now	O	O	O	O	O	
broken-heartedly	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
What	O	O	O	O	O	
will	O	O	O	O	O	
happen	O	O	O	O	O	
to	O	O	O	O	O	
him	O	O	O	O	O	
,	O	O	O	O	O	
poor	B-PER	O	O	O	O	
child	I-PER	O	O	O	O	
?	O	O	O	O	O	
"	O	O	O	O	O	

The	B-PER	O	O	O	O	
monthly	I-PER	O	O	O	O	
nurse	I-PER	O	O	O	O	
tried	O	O	O	O	O	
to	O	O	O	O	O	
quiet	O	O	O	O	O	
her	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
presently	O	O	O	O	O	
,	O	O	O	O	O	
from	O	O	O	O	O	
exhaustion	O	O	O	O	O	
,	O	O	O	O	O	
the	O	O	O	O	O	
crying	O	O	O	O	O	
ceased	O	O	O	O	O	
.	O	O	O	O	O	

The	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
walked	O	O	O	O	O	
to	O	O	O	O	O	
a	O	O	O	O	O	
table	O	O	O	O	O	
on	O	O	O	O	O	
the	O	O	O	O	O	
other	O	O	O	O	O	
side	O	O	O	O	O	
of	O	O	O	O	O	
the	B-FAC	O	O	O	O	
room	I-FAC	O	O	O	O	
,	O	O	O	O	O	
upon	O	O	O	O	O	
which	O	O	O	O	O	
,	O	O	O	O	O	
under	O	O	O	O	O	
a	O	O	O	O	O	
towel	O	O	O	O	O	
,	O	O	O	O	O	
lay	O	O	O	O	O	
the	O	O	O	O	O	
body	O	O	O	O	O	
of	O	O	O	O	O	
a	B-PER	O	O	O	O	
still-born	I-PER	O	O	O	O	
child	I-PER	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
lifted	O	O	O	O	O	
the	O	O	O	O	O	
towel	O	O	O	O	O	
and	O	O	O	O	O	
looked	O	O	O	O	O	
.	O	O	O	O	O	

He	O	O	O	O	O	
was	O	O	O	O	O	
hidden	O	O	O	O	O	
from	O	O	O	O	O	
the	O	O	O	O	O	
bed	O	O	O	O	O	
by	O	O	O	O	O	
a	O	O	O	O	O	
screen	O	O	O	O	O	
,	O	O	O	O	O	
but	O	O	O	O	O	
the	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
guessed	O	O	O	O	O	
what	O	O	O	O	O	
he	O	O	O	O	O	
was	O	O	O	O	O	
doing	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Was	O	O	O	O	O	
it	O	O	O	O	O	
a	B-PER	O	O	O	O	
girl	I-PER	O	O	O	O	
or	O	O	O	O	O	
a	B-PER	O	O	O	O	
boy	I-PER	O	O	O	O	
?	O	O	O	O	O	
"	O	O	O	O	O	

she	O	O	O	O	O	
whispered	O	O	O	O	O	
to	O	O	O	O	O	
the	B-PER	O	O	O	O	
nurse	I-PER	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Another	B-PER	O	O	O	O	
boy	I-PER	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

The	B-PER	O	O	O	O	
woman	I-PER	O	O	O	O	
did	O	O	O	O	O	
not	O	O	O	O	O	
answer	O	O	O	O	O	
.	O	O	O	O	O	

In	O	O	O	O	O	
a	O	O	O	O	O	
moment	O	O	O	O	O	
the	B-PER	B-PER	O	O	O	
child	I-PER	I-PER	O	O	O	
's	O	I-PER	O	O	O	
nurse	O	I-PER	O	O	O	
came	O	O	O	O	O	
back	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
approached	O	O	O	O	O	
the	O	O	O	O	O	
bed	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
Master	B-PER	B-PER	O	O	O	
Philip	O	I-PER	O	O	O	
never	O	O	O	O	O	
woke	O	O	O	O	O	
up	O	O	O	O	O	
,	O	O	O	O	O	
"	O	O	O	O	O	
she	O	O	O	O	O	
said	O	O	O	O	O	
.	O	O	O	O	O	

There	O	O	O	O	O	
was	O	O	O	O	O	
a	O	O	O	O	O	
pause	O	O	O	O	O	
.	O	O	O	O	O	

Then	O	O	O	O	O	
the	B-PER	O	O	O	O	
doctor	I-PER	O	O	O	O	
felt	O	O	O	O	O	
his	B-PER	O	O	O	O	
patient	I-PER	O	O	O	O	
's	O	O	O	O	O	
pulse	O	O	O	O	O	
once	O	O	O	O	O	
more	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
I	O	O	O	O	O	
do	O	O	O	O	O	
n't	O	O	O	O	O	
think	O	O	O	O	O	
there	O	O	O	O	O	
's	O	O	O	O	O	
anything	O	O	O	O	O	
I	O	O	O	O	O	
can	O	O	O	O	O	
do	O	O	O	O	O	
just	O	O	O	O	O	
now	O	O	O	O	O	
,	O	O	O	O	O	
"	O	O	O	O	O	
he	O	O	O	O	O	
said	O	O	O	O	O	
.	O	O	O	O	O	

"	O	O	O	O	O	
I	O	O	O	O	O	
'll	O	O	O	O	O	
call	O	O	O	O	O	
again	O	O	O	O	O	
after	O	O	O	O	O	
breakfast	O	O	O	O	O	
.	O	O	O	O	O	
"	O	O	O	O	O	

